              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp   repl   feas        seed
  del-n10000-k50-s4699  10000   50  1800.0018  1356.8219    9.4437   416.3787  0.0000  280.4695   3158   3069  4015013562
  del-n10000-k50-s4699  10000   50  1800.0336   727.8731    4.6227   525.3281  0.0000  266.1613   3100   2988  3545253802
  del-n10000-k50-s4699  10000   50  1800.0018   166.2888    9.2316   508.1490  0.0000  286.7416   3122   3038  2608593671
  del-n10000-k50-s4699  10000   50  1800.0018  1744.5764   11.7315   422.7553  0.0000  298.8651   3179   3090  3366835925
  del-n10000-k50-s4699  10000   50  1800.0022   394.8463    8.1440   480.8840  0.0000  299.8678   3166   3068  1371613128
  del-n10000-k50-s4699  10000   50  1800.0019  1264.6392   12.8576   340.2278  0.0000  294.8297   3147   3041  2544221858
  del-n10000-k50-s4699  10000   50  1800.0020    26.8358   14.9843   486.4195  0.0000  293.5899   3158   3050  1957907133
  del-n10000-k50-s4699  10000   50  1800.0019  1586.8450   10.5600   509.5768  0.0000  289.1536   3124   3009  1556780837
  del-n2500-k12-s12455   2500   12  1800.0037  1761.3422    1.2850   739.7339  0.0000  408.3158  26083  26021   525221922
  del-n2500-k12-s12455   2500   12  1800.0008   510.2360    0.5671   664.7251  0.0000  410.9024  25577  25493   585719349
  del-n2500-k12-s12455   2500   12  1800.0011   228.2617    0.4092   663.9233  0.0000  406.5141  25874  25798  1950037739
  del-n2500-k12-s12455   2500   12  1800.0056   822.4953    2.8479   662.2501  0.0000  410.9024  26167  26084  2485221737
  del-n2500-k12-s12455   2500   12  1800.0009  1177.5597    0.6475   672.3182  0.0000  414.1048  25859  25788  3416051599
  del-n2500-k12-s12455   2500   12  1800.0078  1684.1491    0.8272   752.3182  0.0000  409.8668  25852  25771    96060839
  del-n2500-k12-s12455   2500   12  1800.0014  1718.0923    1.0652   693.4782  0.0000  412.7558  26251  26191  1099282167
  del-n2500-k12-s12455   2500   12  1800.0010   901.9614    1.2290   904.8111  0.0000  413.2398  26503  26432  2150954680
  del-n2500-k12-s12455   2500   12  1800.0009  1119.6409    1.0381   785.9338  0.0000  424.5023  25708  25635  2133338730
  del-n2500-k12-s12455   2500   12  1800.0009  1039.0641    0.9474   785.9338  0.0000  405.9823  26022  25951  2902234826
  del-n2500-k25-s15827   2500   25  1800.0008  1011.9286    2.2284   577.0516  0.0000  294.0660  18457  17168  4028650138
  del-n2500-k25-s15827   2500   25  1800.0130  1333.3658    3.1780   505.4627  0.0000  295.2408  18019  16687  2957531636
