              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp   repl   feas          seed
  del-n10000-k50-s4699  10000   50  1800.0020   752.7013   31.8860   905.2634  0.0000  209.9524   1775   1649    1859405587
  del-n10000-k50-s4699  10000   50  1800.0022    73.7750   22.8723   482.4578  0.0000  194.3652   1827   1710    4117287468
  del-n10000-k50-s4699  10000   50  1800.0020  1006.5652   27.5969   549.6649  0.0000  207.1399   1786   1667    1283459420
  del-n10000-k50-s4699  10000   50  1800.0017   871.0170   21.7509   738.6925  0.0000  208.6027   1771   1642     250950966
  del-n10000-k50-s4699  10000   50  1800.0015   410.3883   28.7611   976.2984  0.0000  209.9826   1800   1683    3788232669
  del-n10000-k50-s4699  10000   50  1800.0023  1446.5945   35.8678   976.2984  0.0000  194.1856   1786   1664     187117967
  del-n10000-k50-s4699  10000   50  1800.0016  1231.6638   24.1817   550.1775  0.0000  202.7159   1813   1702    2108935408
  del-n10000-k50-s4699  10000   50  1800.0018  1433.8207   29.4763   721.9126  0.0000  204.1321   1868   1761    2155370204
  del-n2500-k12-s12455   2500   12  1800.0008   645.1710    9.4896  1004.9756  0.0000  381.7280  10042  10029     148566045
  del-n2500-k12-s12455   2500   12  1800.0006   561.5001    7.6025   742.1695  0.0000  378.3852  10014   9998    2249227095
  del-n2500-k12-s12455   2500   12  1800.0006   518.7832    8.9988   815.6842  0.0000  378.3852  10046  10030    1543041327
  del-n2500-k12-s12455   2500   12  1800.0008  1143.0432    8.7152   788.3531  0.0000  378.9436  10091  10073    1842212620
  del-n2500-k12-s12455   2500   12  1800.0003  1118.4272    7.8870   966.5520  0.0000  378.9436  10329  10313    2258145152
  del-n2500-k12-s12455   2500   12  1800.0006  1427.1138    6.7073   966.5520  0.0000  378.7296  10157  10140     583498924
  del-n2500-k12-s12455   2500   12  1800.0007  1031.3498    6.1332   672.6704  0.0000  382.9160  10109  10096     327382327
  del-n2500-k12-s12455   2500   12  1800.0006  1318.8501    9.2211   618.3822  0.0000  383.2843  10293  10273    2723211324
  del-n2500-k12-s12455   2500   12  1800.0006   253.1312    6.1028   759.0803  0.0000  378.9436  10218  10198    3756550862
  del-n2500-k12-s12455   2500   12  1800.0007  1740.8847    6.9971   814.1034  0.0000  378.3852  10050  10037    3561101828
  del-n2500-k25-s15827   2500   25  1800.0006  1622.2702   15.9654   983.9365  0.0000  267.0595   9473   8819    2814686522
  del-n2500-k25-s15827   2500   25  1800.0008  1353.3822   15.5686   979.6695  0.0000  264.8321   9451   8813    2555596872
  del-n2500-k25-s15827   2500   25  1800.0007  1582.2921   12.0262   821.8388  0.0000  264.7635   9427   8754     401306100
  del-n2500-k25-s15827   2500   25  1800.0006   235.6143   19.1874   983.9365  0.0000  260.3309   9404   8734     480718483
  del-n2500-k25-s15827   2500   25  1800.0009  1597.9366   15.6753   560.9219  0.0000  270.2214   9581   8949    3140272424
  del-n2500-k25-s15827   2500   25  1800.0007   901.6729   14.1578   857.7692  0.0000  263.0719   9380   8677    4154330797
  del-n2500-k25-s15827   2500   25  1800.0009   403.5176   16.1626   867.3667  0.0000  261.7302   9587   8915    1017621679
  del-n2500-k25-s15827   2500   25  1800.0010  1184.6032   15.2540   915.4123  0.0000  261.1964   9674   8994    2031821687
  del-n2500-k25-s15827   2500   25  1800.0007  1145.7503   15.9982   870.0317  0.0000  266.2193   9552   8865    4168794146
  del-n2500-k25-s15827   2500   25  1800.0007    77.3986   18.3628   723.3130  0.0000  262.5107   9586   8920    1692500837
  del-n2500-k40-s32424   2500   40  1800.0007   677.5117   28.8906   974.4934  0.0000  221.9225   4597   1828    3305354332
  del-n2500-k40-s32424   2500   40  1800.0008  1300.2180   31.6706   921.8589  0.0000  218.7912   4622   1859    2695293098
  del-n2500-k40-s32424   2500   40  1800.0008   647.4541   26.7088   957.7083  0.0000  210.6494   4558   1811    1665504203
  del-n2500-k40-s32424   2500   40  1800.0007    85.1727   38.1024   750.4325  0.0000  213.7308   4624   1807    1656668446
  del-n2500-k40-s32424   2500   40  1800.0007  1766.6149   30.3603   780.9942  0.0000  221.1108   4575   1828       1098517
  del-n2500-k40-s32424   2500   40  1800.0008  1138.8397   26.9614   795.0127  0.0000  213.7697   4632   1922     712545052
  del-n2500-k40-s32424   2500   40  1800.0008  1520.7537   30.2160   683.5223  0.0000  222.7159   4586   1889    3922620618
  del-n2500-k40-s32424   2500   40  1800.0008  1442.5291   28.2335   685.8224  0.0000  206.3969   4658   1914    2836356859
  del-n2500-k40-s32424   2500   40  1800.0008  1465.4885   27.6367   977.3874  0.0000  212.8609   4600   1854    1584361733
  del-n2500-k40-s32424   2500   40  1800.0007  1375.2322   22.2523   822.0168  0.0000  219.3804   4620   1869    4133092079
  del-n5000-k25-s33654   5000   25  1800.0011  1019.1553   18.2955   736.0949  0.0000  271.2878   4131   4095    3070007943
  del-n5000-k25-s33654   5000   25  1800.0003   506.1466   15.3326   679.8961  0.0000  264.3952   4114   4071    3274017901
  del-n5000-k25-s33654   5000   25  1800.0002   810.6001   15.2231   665.1219  0.0000  268.2926   4298   4252    3303083189
  del-n5000-k25-s33654   5000   25  1800.0011   149.8337   16.9250   637.5248  0.0000  266.3590   4168   4119    3813049329
  del-n5000-k25-s33654   5000   25  1800.0008   571.6694   21.0849   662.4128  0.0000  265.4864   4118   4067    2257659102
  del-n5000-k25-s33654   5000   25  1800.0009   196.9922   18.2563   548.2747  0.0000  266.2718   4313   4266    4118094336
  del-n5000-k25-s33654   5000   25  1800.0010   247.6620   16.0353   664.6229  0.0000  262.1194   4180   4139    3426016790
  del-n5000-k25-s33654   5000   25  1800.0010  1093.2039   13.8615   987.9041  0.0000  266.8678   4194   4149    2082907861
  del-n5000-k25-s33654   5000   25  1800.0002  1149.2353   16.3680  1015.1588  0.0000  268.2633   4055   4004     671368142
  del-n5000-k25-s33654   5000   25  1800.0009   124.1613   16.6192   704.4835  0.0000  266.8195   4132   4080     213769613
  del-n5000-k50-s49035   5000   50  1800.0013    91.1941   40.7724   533.7288  0.0000  199.3127   3078   2445     709321649
  del-n5000-k50-s49035   5000   50  1800.0012  1659.1848   32.4304   505.1218  0.0000  199.6816   3117   2423    3255880973
  del-n5000-k50-s49035   5000   50  1800.0009   623.2681   39.9477   912.9023  0.0000  198.4316   3154   2481    1166365933
  del-n5000-k50-s49035   5000   50  1800.0012   784.8384   30.9808   535.0003  0.0000  194.3212   3216   2547     912964585
  del-n5000-k50-s49035   5000   50  1800.0009  1093.0845   35.6977   588.4667  0.0000  201.5823   3160   2542    3864740436
  del-n5000-k50-s49035   5000   50  1800.0013   317.7265   31.3262   569.5082  0.0000  190.6075   3152   2472     750481880
  del-n5000-k50-s49035   5000   50  1800.0013   439.4381   31.4569   576.0667  0.0000  188.7865   3090   2427    2072696805
  del-n5000-k50-s49035   5000   50  1800.0032  1204.2442   32.2476   607.0967  0.0000  194.5915   3131   2483     536577050
  del-n5000-k50-s49035   5000   50  1800.0009   109.3836   31.9272   474.0752  0.0000  196.9677   3136   2469    2306691408
  del-n5000-k50-s49035   5000   50  1800.0011  1357.7030   37.8195   600.4043  0.0000  194.9802   3111   2466    2422755621
  del-n5000-k80-s37325   5000   80  1800.0013   356.7176   62.4063   667.4910  0.0000  184.5321   2377    201    2825964190
  del-n5000-k80-s37325   5000   80  1800.0011  1547.9324   60.3580   949.0246  0.0000  175.6840   2393    175    1289927190
  del-n5000-k80-s37325   5000   80  1800.0012  1389.2472   55.3370   921.5755  0.0000  193.2718   2382    192    3996042449
  del-n5000-k80-s37325   5000   80  1800.0013  1234.4417   63.1224   942.4690  0.0000  180.1522   2383    212    1871569783
  del-n5000-k80-s37325   5000   80  1800.0013   848.6368   66.7059   616.5244  0.0000  181.9661   2365    179    1110400401
  del-n5000-k80-s37325   5000   80  1800.0020   770.5682   58.9348   715.7853  0.0000  167.3895   2376    176    1879261817
  del-n5000-k80-s37325   5000   80  1800.0014   112.0936   58.3071   973.4703  0.0000  179.6580   2379    198    2718312277
  del-n5000-k80-s37325   5000   80  1800.0012   259.9550   55.0723  1000.5052  0.0000  173.9491   2382    178     413264397
  del-n5000-k80-s37325   5000   80  1800.0012   698.3802   48.6609   994.8764  0.0000  173.0918   2362    177     874537628
