instance    n   k       time        ttb  cons_bal  cons_cmp     bal      cmp   repl   feas        seed
 d500-07  500  10  1800.0004   476.9448    2.1158   54.6974  0.0000  40.6993  21206   4789   515606951
 d500-07  500  10  1800.0004   310.2316    1.7766   51.5089  0.0000  40.7164  21159   4544  3225530033
 d500-07  500  10  1800.0004   245.0452    3.8409   54.3838  0.0000  41.1471  21134   4591  1548866927
 d500-07  500  10  1800.0004   611.9329    2.8019   60.3173  0.0000  40.7901  21168   4678   178074878
 d500-07  500  10  1800.0003  1101.3820    1.6991   58.0012  0.0000  40.6993  21104   4514   723724559
 d500-07  500  10  1800.0004   181.9694    4.1739   54.0102  0.0000  40.9285  21235   4757  2856004083
 d500-07  500  10  1800.0004   441.8719    0.5311   58.9201  0.0000  40.6878  21146   4702   937966511
 d500-07  500  10  1800.0004   779.8993    0.7175   69.5524  0.0000  40.6993  21021   4521  1677097308
 d500-07  500  10  1800.0004  1523.5588    1.2878   67.5574  0.0000  40.6993  21105   4668  1528412867
 d500-08  500  10  1800.0004  1391.9548    1.7395   62.6804  0.0000  39.3235  22671   6484    97767766
 d500-08  500  10  1800.0004   274.4313    3.5321   56.4519  0.0000  39.8568  22703   6543  3583738872
 d500-08  500  10  1800.0004    28.7367    4.1998   47.8527  0.0000  39.3235  22621   6360  3587540584
 d500-08  500  10  1800.0004   206.0152    4.7817   58.8970  0.0000  39.8568  22647   6467  3585904016
 d500-08  500  10  1800.0004  1183.0222    2.4051   49.4760  0.0000  40.1471  22444   6316  1096732516
 d500-08  500  10  1800.0004   597.9802    3.9889   49.8519  0.0000  39.8568  22562   6352   825638700
 d500-08  500  10  1800.0004  1105.5083    1.5811   55.4920  0.0000  39.4047  22617   6457  1580108663
 d500-08  500  10  1800.0004   119.0917    1.1463   51.0890  0.0000  39.8568  22480   6334  1823043439
 d500-08  500  10  1800.0004   525.4453    1.1803   63.5428  0.0000  39.8568  22559   6423  1774033220
 d500-08  500  10  1800.0004   755.2171    3.2076   60.9427  0.0000  39.9706  22538   6386  1093823163
 d500-09  500  10  1800.0005  1367.9086    1.0631   47.3194  0.0000  39.2968  22944   6621   525458455
 d500-09  500  10  1800.0004   570.1310    1.2825   53.1286  0.0000  39.2968  23089   6626  2438971002
 d500-09  500  10  1800.0004  1265.8171    1.2317   48.1940  0.0000  39.2968  22857   6602  1108346386
 d500-09  500  10  1800.0005   158.3543    1.1964   69.6981  0.0000  39.8825  23008   6708  2390678846
 d500-09  500  10  1800.0004    92.8101    1.3029   57.1493  0.0000  39.6192  22868   6606  3304003841
 d500-09  500  10  1800.0004    18.8065    2.0746   53.9530  0.0000  39.5455  23031   6687  1872997352
 d500-09  500  10  1800.0004  1288.6971    0.7305   54.2056  0.0000  39.2968  23003   6638  1147448759
 d500-09  500  10  1800.0004  1211.3424    1.4696   65.7509  0.0000  39.5455  22912   6532  2888811669
 d500-09  500  10  1800.0004   578.4699    1.9704   56.6853  0.0000  39.7902  22880   6595  2976707316
 d500-09  500  10  1800.0004  1550.9490    1.6575   65.7509  0.0000  39.5455  22863   6541  2673091930
 d500-10  500  10  1800.0003   517.2226    2.2920   58.6976  0.0000  40.6817  19765   2414  2163476738
 d500-10  500  10  1800.0003  1557.7162    3.7622   55.6280  0.0000  40.6253  19713   2367  1377121023
 d500-10  500  10  1800.0004  1448.6683    3.0724   71.5535  0.0000  40.9030  19830   2460  1040120545
 d500-10  500  10  1800.0005   158.0502    2.8852   59.0155  0.0000  41.3936  19715   2345  4208402494
 d500-10  500  10  1800.0003    81.8405    1.1957   54.5480  0.0000  40.7494  19779   2310  3885031486
 d500-10  500  10  1800.0003   641.5975    2.8334   67.0100  0.0000  39.3476  19779   2409  4072683071
 d500-10  500  10  1800.0003   621.2261    1.5365   68.7343  0.0000  41.0144  19729   2404    48850706
 d500-10  500  10  1800.0004  1487.9266    0.8629   67.2605  0.0000  40.6817  19733   2422   138393256
 d500-10  500  10  1800.0003   632.6876    1.5294   49.8512  0.0000  41.0144  19756   2462  2806486655
 d500-10  500  10  1800.0003   944.0266    4.4186   57.5604  0.0000  41.0144  19784   2352  2806924949
 d500-11  500  10  1800.0005   202.7062    0.3725   52.6721  0.0000  39.3943  26461  11835  2894341143
 d500-11  500  10  1800.0006   168.1139    1.6930   58.4893  0.0000  39.3943  26409  11902  2740872898
 d500-11  500  10  1800.0005    14.4220    0.3136   52.6721  0.0000  39.3943  26220  11609  2818370185
 d500-11  500  10  1800.0005  1574.7159    2.2565   63.8337  0.0000  39.3943  26386  11722  2106187800
 d500-11  500  10  1800.0006   148.1682    1.3208   58.4893  0.0000  39.3943  26277  11772  2483974305
 d500-11  500  10  1800.0006   669.7198    1.1858   49.7323  0.0000  39.3943  26350  11714  2528160044
 d500-11  500  10  1800.0006    84.4385    1.8418   54.8927  0.0000  39.3943  26407  11979  1066468586
 d500-11  500  10  1800.0005   185.5245    1.0651   47.9572  0.0000  39.3943  26348  11771   150476847
 d500-11  500  10  1800.0005   570.7125    2.6706   51.8023  0.0000  39.3943  26296  11689  3214209044
 d500-11  500  10  1800.0005   266.3622    1.1575   54.8532  0.0000  39.3943  26396  11750   340771642
 d500-12  500  10  1800.0005    84.6969    2.7944   69.3561  0.0000  40.1831  26301  13223   757533366
 d500-12  500  10  1800.0005    84.6890    3.1068   58.2701  0.0000  40.1831  26278  13433  1660067558
 d500-12  500  10  1800.0006   169.4221    2.5719   78.3413  0.0000  40.1831  26686  13752  2833492319
 d500-12  500  10  1800.0005    10.6415    2.6483   56.5569  0.0000  40.1831  26429  13284   326394044
 d500-12  500  10  1800.0005  1525.6038    1.5547   54.0261  0.0000  40.1150  26456  13391   370382231
 d500-12  500  10  1800.0005    35.3503    2.1434   54.9579  0.0000  40.1831  26551  13517  1466961969
 d500-12  500  10  1800.0005   242.5478    2.6982   53.4289  0.0000  40.1831  26465  13425  2658433794
 d500-12  500  10  1800.0005     6.7951    4.1752   56.1293  0.0000  40.1831  26580  13620  4001439006
