              instance      n    k       time        ttb  cons_bal   cons_cmp     bal       cmp    repl    feas        seed
  del-n10000-k50-s4699  10000   50  1800.0011  1686.5158    7.0845   344.8275  0.0000  223.3994    5059     537  1961917835
  del-n10000-k50-s4699  10000   50  1800.0893   784.1141    4.3283   451.2008  0.0000  207.6217    5044     526  2898207928
  del-n10000-k50-s4699  10000   50  1800.0013  1407.4938    4.2703   330.6866  0.0000  220.3426    5069     513  1530667269
  del-n10000-k50-s4699  10000   50  1800.0760  1375.3275    7.9169   347.2325  0.0000  222.8137    4986     462  3349345840
  del-n10000-k50-s4699  10000   50  1800.0907  1559.9439    6.3471   346.7851  0.0000  223.1618    5055     513   230024186
  del-n10000-k50-s4699  10000   50  1800.1144   721.4678    6.1020   331.3636  0.0000  231.8881    5011     491   708142258
  del-n10000-k50-s4699  10000   50  1800.0579  1014.2148    6.7592   385.1047  0.0000  218.3783    5011     525   761758614
  del-n10000-k50-s4699  10000   50  1800.0011    33.0802    6.2990   391.2675  0.0000  212.0272    4995     495  3920508542
  del-n2500-k12-s12455   2500   12  1800.0167   654.1483    0.5974   535.3225  0.0000  387.8177   35017   33390   736589958
  del-n2500-k12-s12455   2500   12  1800.0222  1608.4252    1.1807   554.1612  0.0000  391.9598   35028   33425  2537337540
  del-n2500-k12-s12455   2500   12  1800.0170    12.2861    0.2975   553.2029  0.0000  389.2198   35167   33586  3548419397
  del-n2500-k12-s12455   2500   12  1800.0008   260.0096    0.6329   584.4373  0.0000  387.3108   35040   33386   815695055
  del-n2500-k12-s12455   2500   12  1800.0010  1336.7466    0.5280   479.3005  0.0000  383.9966   34918   33316  3626831277
  del-n2500-k12-s12455   2500   12  1800.0009    26.5054    0.0115   518.2631  0.0000  390.3154   35122   33499  2579297313
  del-n2500-k12-s12455   2500   12  1800.0119   872.2993    0.6698   494.4013  0.0000  389.7981   35152   33583   318546693
  del-n2500-k12-s12455   2500   12  1800.0009  1311.8691    1.6477   519.1478  0.0000  393.0831   35046   33460  3212980052
  del-n2500-k12-s12455   2500   12  1800.0186   155.8405    0.1304   641.5893  0.0000  388.9502   35094   33493   815734059
  del-n2500-k12-s12455   2500   12  1800.0011  1035.9779    0.6800   504.4419  0.0000  387.5848   35003   33383  2746145638
  del-n2500-k25-s15827   2500   25  1800.0065   906.1865    1.1937   491.4855  0.0000  281.0544   36546   16034  1798184659
  del-n2500-k25-s15827   2500   25  1800.0161  1374.0050    4.0461   717.1130  0.0000  272.2846   36727   16404   394947995
  del-n2500-k25-s15827   2500   25  1800.0012  1494.5370    4.4574  1003.0854  0.0000  276.2507   36683   16250  3813524954
  del-n2500-k25-s15827   2500   25  1800.0012    75.4750    0.9860   415.9876  0.0000  273.1770   36737   16196  2579171774
  del-n2500-k25-s15827   2500   25  1800.0011   572.0953    1.1346   425.8800  0.0000  271.5212   36653   16077  1361833647
  del-n2500-k25-s15827   2500   25  1800.0011  1757.2551    1.4629   520.1125  0.0000  276.7942   36659   16390   982975525
  del-n2500-k25-s15827   2500   25  1800.0010  1569.4232    1.8196   670.0055  0.0000  268.1997   36814   16321   415627963
  del-n2500-k25-s15827   2500   25  1800.0010   582.5897    1.3450   459.9188  0.0000  280.8325   36613   16200   193097326
  del-n2500-k25-s15827   2500   25  1800.0009   978.7789    2.6970  1003.0854  0.0000  274.9241   36690   16142  1867549597
  del-n2500-k25-s15827   2500   25  1800.0009   168.0117    2.4896   606.6743  0.0000  277.8637   36781   16261   432570707
  del-n2500-k40-s32424   2500   40  1800.0009  1397.4052    9.6993   392.3934  0.0000  230.4207   35760     332  3540116430
  del-n2500-k40-s32424   2500   40  1800.0010  1046.7984    3.2929   426.3965  0.0000  245.5148   35830     315  1570540480
  del-n2500-k40-s32424   2500   40  1800.0008  1693.7139    4.6307   469.8892  0.0000  236.1660   35717     308  1035351770
  del-n2500-k40-s32424   2500   40  1800.0008   660.7565    9.3870   381.7271  0.0000  235.4213   35732     344   456264875
  del-n2500-k40-s32424   2500   40  1800.0106  1279.1972    7.4292   389.9320  0.0000  241.5040   35744     301  1226069873
  del-n2500-k40-s32424   2500   40  1800.0008  1593.7309    5.0776   659.8707  0.0000  237.5319   35662     299   660085260
  del-n2500-k40-s32424   2500   40  1800.0008  1645.8772    2.9014   411.2874  0.0000  235.7304   35784     285  1426913098
  del-n2500-k40-s32424   2500   40  1800.0008  1088.7271    4.2587   353.3814  0.0000  238.2811   35741     295  1116109364
  del-n2500-k40-s32424   2500   40  1800.0081   946.1870    5.2473   405.2622  0.0000  229.2614   35719     313  1466456565
  del-n2500-k40-s32424   2500   40  1800.0006   851.6054    6.4084   500.9881  0.0000  227.9033   35763     322   846166763
  del-n5000-k25-s33654   5000   25  1800.0010   581.4525    3.8699   510.9841  0.0000  280.7532   13488    6835  2995865264
  del-n5000-k25-s33654   5000   25  1800.0007    89.6161    4.0679   393.2029  0.0000  285.7220   13479    6778  1610009300
  del-n5000-k25-s33654   5000   25  1800.0208   380.9030    1.3435   472.7998  0.0000  281.8097   13462    6776  3751425566
  del-n5000-k25-s33654   5000   25  1800.0008  1125.2735    1.7221   389.5908  0.0000  286.7957   13446    6782  3085061579
