              instance      n    k       time        ttb  cons_bal   cons_cmp  bal       cmp   repl   feas        seed
  del-n1000-k10-s21163   1000   10  1800.0005     131.67    0.2801   552.2163    0   402.351  22256  20978    88903356
  del-n1000-k10-s21163   1000   10  1800.0005   258.5074    1.1142     586.44    0   402.351  22291  21027  1591591054
  del-n1000-k10-s21163   1000   10  1800.0005   208.6594    0.2566    611.526    0   402.351  22626  21426  2065241567
  del-n1000-k10-s21163   1000   10  1800.0004    79.4022    0.5927    496.797    0   402.351  22507  21272  3191477787
  del-n1000-k10-s21163   1000   10  1800.0005   222.8544    0.5189   619.3262    0   402.351  22521  21318   369374963
  del-n1000-k10-s21163   1000   10  1800.0004    19.3773    0.5652   570.5015    0   402.351  22559  21371  2338642772
   del-n1000-k10-s8083   1000   10  1800.0005     55.508    0.5245   760.3478    0  404.8553  26619  25415  1518954800
   del-n1000-k10-s8083   1000   10  1800.0006   116.8642    1.0522      479.4    0  404.8553  26650  25486  3202618981
   del-n1000-k10-s8083   1000   10  1800.0004    34.7469    0.5459   645.2909    0  404.8553  26712  25506  4062906972
   del-n1000-k10-s8083   1000   10  1800.0005    75.0998    0.1879    626.942    0  404.8553  26653  25396  3547296219
   del-n1000-k10-s8083   1000   10  1800.0005    76.9221    0.5443   649.2119    0  404.8553  26370  25192   109900046
   del-n1000-k10-s8083   1000   10  1800.0005     51.187    1.1061   579.7164    0  404.8553  26946  25801  3467019656
   del-n1000-k10-s8083   1000   10  1800.0045     2.5953    1.0159   522.0392    0  404.8553  26618  25390  2212653052
   del-n1000-k10-s8083   1000   10  1800.0004     17.449    0.3402   589.7376    0  404.8553  26538  25275   560860100
   del-n1000-k10-s8083   1000   10  1800.0005    33.7569    0.3027   655.5054    0  404.8553  26893  25653   866466525
   del-n1000-k10-s8083   1000   10  1800.0005     8.3674    1.2704   607.9879    0  404.8553  26300  25085   131147226
   del-n1000-k10-s8165   1000   10  1800.0004  1025.0012    0.5975   687.2704    0  402.4459  13920   9048   815686126
   del-n1000-k10-s8165   1000   10  1800.0004   884.4107    2.1435   699.6066    0  402.4459  13676   8782   507274204
   del-n1000-k10-s8165   1000   10  1800.0003    229.214    0.8307   1002.481    0  404.8761  13722   8810  3214001100
   del-n1000-k10-s8165   1000   10  1800.0004   243.5185    0.3504   736.0544    0  402.9598  13588   8673  2227626872
   del-n1000-k10-s8165   1000   10  1800.0004   808.3425    0.2331   721.6324    0  402.9598  13601   8698  2792186676
   del-n1000-k10-s8165   1000   10  1800.0004   139.2563    3.0934    953.202    0  402.4459  13569   8678  3749208455
   del-n1000-k10-s8165   1000   10  1800.0004     57.456    0.5311   769.7207    0  403.4401  13703   8763  2034434132
   del-n1000-k10-s8165   1000   10  1800.0004  1055.2091    0.2514    973.362    0  402.4459  13645   8708  2393202887
   del-n1000-k10-s8165   1000   10  1800.0004  1613.1955    0.7622   571.2973    0  402.4459  13678   8764  2561694541
   del-n1000-k10-s8165   1000   10  1800.0003  1042.7326    0.5956   745.5348    0  402.9598  13631   8704   653387622
   del-n1000-k16-s3985   1000   16  1800.0003  1693.1355    1.9606   525.2803    0  319.3664  10540   4544  3621286085
   del-n1000-k16-s3985   1000   16  1800.0003   395.3682    2.8253   555.5186    0  326.0776  10517   4533  1246808756
   del-n1000-k16-s3985   1000   16  1800.0003   118.5891    2.9844  1001.2883    0   324.765  10560   4624  3396199263
   del-n1000-k16-s3985   1000   16  1800.0006  1757.5622    2.4091   678.9546    0  322.4511  10481   4519  4104821785
   del-n1000-k16-s3985   1000   16  1800.0003   387.4339     2.768   803.8374    0  321.2886  10519   4514  1185019655
   del-n1000-k16-s3985   1000   16  1800.0003  1083.9699    4.0005   458.9256    0  327.4356  10481   4538   668113085
   del-n1000-k16-s3985   1000   16  1800.0005    74.9557    1.2198   553.8916    0  320.3644  10458   4511  3129980873
   del-n1000-k16-s3985   1000   16  1800.0004   361.1168    1.6132   533.0446    0   321.267  10560   4449  3125676343
   del-n1000-k16-s3985   1000   16  1800.0004    397.497    2.7672   571.2547    0  322.7334  10456   4474  2146249951
   del-n1000-k16-s3985   1000   16  1800.0003  1297.0006    2.5587   647.0303    0  319.9894  10482   4492  2495857141
  del-n1000-k16-s51680   1000   16  1800.0004   112.1288    2.2619   547.2409    0   319.262  12167   7102  3638837725
  del-n1000-k16-s51680   1000   16  1800.0018  1160.2076    0.6258   571.8669    0  316.5633  12093   7142  2602549637
